id,domaine,sous_type,niveau_1_5,temps_conseille_sec,mode_reponse,consigne_examinateur,stimulus,choix_A,choix_B,choix_C,choix_D,reponse_attendue,explication_correction,bareme,construct_cible,tags,source_cadre,avertissement
MT-133,Mémoire de travail,Empan ordre croissant,3,50,Réponse libre stricte,Réorganisez les chiffres dans l'ordre croissant. Réponse attendue avec des tirets.,9-0-5-2-8-3,,,,,0-2-3-5-8-9,Les chiffres sont triés du plus petit au plus grand: 0-2-3-5-8-9.,"1 point si réponse exacte, 0 sinon.",Mémoire de travail et ordonnancement,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-134,Mémoire de travail,Empan ordre croissant,4,55,Réponse libre stricte,Réorganisez les chiffres dans l'ordre croissant. Réponse attendue avec des tirets.,7-4-1-6-9-2-5,,,,,1-2-4-5-6-7-9,Les chiffres sont triés du plus petit au plus grand: 1-2-4-5-6-7-9.,"1 point si réponse exacte, 0 sinon.",Mémoire de travail et ordonnancement,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-135,Mémoire de travail,Empan ordre croissant,5,60,Réponse libre stricte,Réorganisez les chiffres dans l'ordre croissant. Réponse attendue avec des tirets.,8-3-0-6-1-9-4-2,,,,,0-1-2-3-4-6-8-9,Les chiffres sont triés du plus petit au plus grand: 0-1-2-3-4-6-8-9.,"1 point si réponse exacte, 0 sinon.",Mémoire de travail et ordonnancement,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-136,Mémoire de travail,Empan ordre croissant,2,45,Réponse libre stricte,Réorganisez les chiffres dans l'ordre croissant. Réponse attendue avec des tirets.,5-2-9-1-6,,,,,1-2-5-6-9,Les chiffres sont triés du plus petit au plus grand: 1-2-5-6-9.,"1 point si réponse exacte, 0 sinon.",Mémoire de travail et ordonnancement,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-137,Mémoire de travail,Empan ordre croissant,3,50,Réponse libre stricte,Réorganisez les chiffres dans l'ordre croissant. Réponse attendue avec des tirets.,3-8-0-7-4-1,,,,,0-1-3-4-7-8,Les chiffres sont triés du plus petit au plus grand: 0-1-3-4-7-8.,"1 point si réponse exacte, 0 sinon.",Mémoire de travail et ordonnancement,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-138,Mémoire de travail,Empan ordre croissant,4,55,Réponse libre stricte,Réorganisez les chiffres dans l'ordre croissant. Réponse attendue avec des tirets.,9-6-2-5-8-1-7,,,,,1-2-5-6-7-8-9,Les chiffres sont triés du plus petit au plus grand: 1-2-5-6-7-8-9.,"1 point si réponse exacte, 0 sinon.",Mémoire de travail et ordonnancement,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-139,Mémoire de travail,Empan ordre croissant,5,60,Réponse libre stricte,Réorganisez les chiffres dans l'ordre croissant. Réponse attendue avec des tirets.,4-0-8-3-9-1-6-2,,,,,0-1-2-3-4-6-8-9,Les chiffres sont triés du plus petit au plus grand: 0-1-2-3-4-6-8-9.,"1 point si réponse exacte, 0 sinon.",Mémoire de travail et ordonnancement,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-140,Mémoire de travail,Empan ordre croissant,3,50,Réponse libre stricte,Réorganisez les chiffres dans l'ordre croissant. Réponse attendue avec des tirets.,2-7-5-0-9-4,,,,,0-2-4-5-7-9,Les chiffres sont triés du plus petit au plus grand: 0-2-4-5-7-9.,"1 point si réponse exacte, 0 sinon.",Mémoire de travail et ordonnancement,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-141,Mémoire de travail,Séquençage lettres-nombres,2,55,Réponse libre stricte,"Réorganisez d'abord les chiffres en ordre croissant, puis les lettres en ordre alphabétique. Réponse attendue avec des tirets.",B-4-A-7-C-2,,,,,2-4-7-A-B-C,On place les chiffres en ordre croissant puis les lettres en ordre alphabétique: 2-4-7-A-B-C.,"1 point si réponse exacte, 0 sinon.",Manipulation multimodale en mémoire de travail,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-142,Mémoire de travail,Séquençage lettres-nombres,3,60,Réponse libre stricte,"Réorganisez d'abord les chiffres en ordre croissant, puis les lettres en ordre alphabétique. Réponse attendue avec des tirets.",D-9-A-1-C-5,,,,,1-5-9-A-C-D,On place les chiffres en ordre croissant puis les lettres en ordre alphabétique: 1-5-9-A-C-D.,"1 point si réponse exacte, 0 sinon.",Manipulation multimodale en mémoire de travail,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-143,Mémoire de travail,Séquençage lettres-nombres,4,65,Réponse libre stricte,"Réorganisez d'abord les chiffres en ordre croissant, puis les lettres en ordre alphabétique. Réponse attendue avec des tirets.",F-3-B-8-E-0-A,,,,,0-3-8-A-B-E-F,On place les chiffres en ordre croissant puis les lettres en ordre alphabétique: 0-3-8-A-B-E-F.,"1 point si réponse exacte, 0 sinon.",Manipulation multimodale en mémoire de travail,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-144,Mémoire de travail,Séquençage lettres-nombres,5,70,Réponse libre stricte,"Réorganisez d'abord les chiffres en ordre croissant, puis les lettres en ordre alphabétique. Réponse attendue avec des tirets.",C-6-G-2-A-9-D-1,,,,,1-2-6-9-A-C-D-G,On place les chiffres en ordre croissant puis les lettres en ordre alphabétique: 1-2-6-9-A-C-D-G.,"1 point si réponse exacte, 0 sinon.",Manipulation multimodale en mémoire de travail,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-145,Mémoire de travail,Séquençage lettres-nombres,5,70,Réponse libre stricte,"Réorganisez d'abord les chiffres en ordre croissant, puis les lettres en ordre alphabétique. Réponse attendue avec des tirets.",H-4-B-7-E-2-A-5,,,,,2-4-5-7-A-B-E-H,On place les chiffres en ordre croissant puis les lettres en ordre alphabétique: 2-4-5-7-A-B-E-H.,"1 point si réponse exacte, 0 sinon.",Manipulation multimodale en mémoire de travail,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-146,Mémoire de travail,Séquençage lettres-nombres,2,55,Réponse libre stricte,"Réorganisez d'abord les chiffres en ordre croissant, puis les lettres en ordre alphabétique. Réponse attendue avec des tirets.",A-8-D-3-B,,,,,3-8-A-B-D,On place les chiffres en ordre croissant puis les lettres en ordre alphabétique: 3-8-A-B-D.,"1 point si réponse exacte, 0 sinon.",Manipulation multimodale en mémoire de travail,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-147,Mémoire de travail,Séquençage lettres-nombres,3,60,Réponse libre stricte,"Réorganisez d'abord les chiffres en ordre croissant, puis les lettres en ordre alphabétique. Réponse attendue avec des tirets.",E-1-C-9-F-4,,,,,1-4-9-C-E-F,On place les chiffres en ordre croissant puis les lettres en ordre alphabétique: 1-4-9-C-E-F.,"1 point si réponse exacte, 0 sinon.",Manipulation multimodale en mémoire de travail,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-148,Mémoire de travail,Séquençage lettres-nombres,4,65,Réponse libre stricte,"Réorganisez d'abord les chiffres en ordre croissant, puis les lettres en ordre alphabétique. Réponse attendue avec des tirets.",G-0-B-6-D-2-A,,,,,0-2-6-A-B-D-G,On place les chiffres en ordre croissant puis les lettres en ordre alphabétique: 0-2-6-A-B-D-G.,"1 point si réponse exacte, 0 sinon.",Manipulation multimodale en mémoire de travail,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-149,Mémoire de travail,Séquençage lettres-nombres,5,70,Réponse libre stricte,"Réorganisez d'abord les chiffres en ordre croissant, puis les lettres en ordre alphabétique. Réponse attendue avec des tirets.",F-5-H-1-C-8-A-3,,,,,1-3-5-8-A-C-F-H,On place les chiffres en ordre croissant puis les lettres en ordre alphabétique: 1-3-5-8-A-C-F-H.,"1 point si réponse exacte, 0 sinon.",Manipulation multimodale en mémoire de travail,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-150,Mémoire de travail,Séquençage lettres-nombres,5,70,Réponse libre stricte,"Réorganisez d'abord les chiffres en ordre croissant, puis les lettres en ordre alphabétique. Réponse attendue avec des tirets.",D-2-I-7-B-0-E-4,,,,,0-2-4-7-B-D-E-I,On place les chiffres en ordre croissant puis les lettres en ordre alphabétique: 0-2-4-7-B-D-E-I.,"1 point si réponse exacte, 0 sinon.",Manipulation multimodale en mémoire de travail,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-151,Mémoire de travail,Mise à jour mentale,1,55,Réponse libre stricte,Gardez le nombre de départ en mémoire et appliquez mentalement les opérations dans l'ordre.,"Départ 6. +3, ×2, -5 = ?",,,,,13,6+3=9; 9×2=18; 18-5=13.,"1 point si réponse exacte, 0 sinon.",Stockage temporaire et calcul mental,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-152,Mémoire de travail,Mise à jour mentale,2,60,Réponse libre stricte,Gardez le nombre de départ en mémoire et appliquez mentalement les opérations dans l'ordre.,"Départ 12. -4, ×3, +2 = ?",,,,,26,12-4=8; 8×3=24; 24+2=26.,"1 point si réponse exacte, 0 sinon.",Stockage temporaire et calcul mental,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-153,Mémoire de travail,Mise à jour mentale,2,60,Réponse libre stricte,Gardez le nombre de départ en mémoire et appliquez mentalement les opérations dans l'ordre.,"Départ 5. ×4, -6, ÷2 = ?",,,,,7,5×4=20; 20-6=14; 14÷2=7.,"1 point si réponse exacte, 0 sinon.",Stockage temporaire et calcul mental,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-154,Mémoire de travail,Mise à jour mentale,3,65,Réponse libre stricte,Gardez le nombre de départ en mémoire et appliquez mentalement les opérations dans l'ordre.,"Départ 9. +7, ÷4, ×6 = ?",,,,,24,9+7=16; 16÷4=4; 4×6=24.,"1 point si réponse exacte, 0 sinon.",Stockage temporaire et calcul mental,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-155,Mémoire de travail,Mise à jour mentale,4,70,Réponse libre stricte,Gardez le nombre de départ en mémoire et appliquez mentalement les opérations dans l'ordre.,"Départ 15. -3, ÷2, +11, ×2 = ?",,,,,34,15-3=12; 12÷2=6; 6+11=17; 17×2=34.,"1 point si réponse exacte, 0 sinon.",Stockage temporaire et calcul mental,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-156,Mémoire de travail,Mise à jour mentale,3,65,Réponse libre stricte,Gardez le nombre de départ en mémoire et appliquez mentalement les opérations dans l'ordre.,"Départ 8. ×3, +4, ÷2, -7 = ?",,,,,7,8×3=24; +4=28; ÷2=14; -7=7.,"1 point si réponse exacte, 0 sinon.",Stockage temporaire et calcul mental,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-157,Mémoire de travail,Mise à jour mentale,4,70,Réponse libre stricte,Gardez le nombre de départ en mémoire et appliquez mentalement les opérations dans l'ordre.,"Départ 21. ÷3, +8, ×2, -5 = ?",,,,,25,21÷3=7; +8=15; ×2=30; -5=25.,"1 point si réponse exacte, 0 sinon.",Stockage temporaire et calcul mental,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-158,Mémoire de travail,Mise à jour mentale,4,70,Réponse libre stricte,Gardez le nombre de départ en mémoire et appliquez mentalement les opérations dans l'ordre.,"Départ 4. +9, ×3, -6, ÷3 = ?",,,,,11,4+9=13; ×3=39; -6=33; ÷3=11.,"1 point si réponse exacte, 0 sinon.",Stockage temporaire et calcul mental,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-159,Mémoire de travail,Mise à jour mentale,4,70,Réponse libre stricte,Gardez le nombre de départ en mémoire et appliquez mentalement les opérations dans l'ordre.,"Départ 18. -5, ×2, +7, ÷3 = ?",,,,,11,18-5=13; ×2=26; +7=33; ÷3=11.,"1 point si réponse exacte, 0 sinon.",Stockage temporaire et calcul mental,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
MT-160,Mémoire de travail,Mise à jour mentale,5,75,Réponse libre stricte,Gardez le nombre de départ en mémoire et appliquez mentalement les opérations dans l'ordre.,"Départ 11. +5, ÷4, +9, ×3, -6 = ?",,,,,33,11+5=16; ÷4=4; +9=13; ×3=39; -6=33.,"1 point si réponse exacte, 0 sinon.",Stockage temporaire et calcul mental,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-161,Vitesse de traitement / attention,Codage symbolique,1,23,Réponse libre stricte,Utilisez rapidement la clé de codage. Réponse attendue sans espace.,"Clé: A=#, B=%, C=&, D=@, E=+, F=? . Encodez: ABCD",,,,,#%&@,Application directe de la clé de codage; la réponse attendue est #%&@.,"1 point si réponse exacte, 0 sinon.",Association rapide symbole-code,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-162,Vitesse de traitement / attention,Codage symbolique,2,26,Réponse libre stricte,Utilisez rapidement la clé de codage. Réponse attendue sans espace.,"Clé: A=#, B=%, C=&, D=@, E=+, F=? . Encodez: FACE",,,,,?#&+,Application directe de la clé de codage; la réponse attendue est ?#&+.,"1 point si réponse exacte, 0 sinon.",Association rapide symbole-code,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-163,Vitesse de traitement / attention,Codage symbolique,2,26,Réponse libre stricte,Utilisez rapidement la clé de codage. Réponse attendue sans espace.,"Clé: A=#, B=%, C=&, D=@, E=+, F=? . Encodez: BEDA",,,,,%+@#,Application directe de la clé de codage; la réponse attendue est %+@#.,"1 point si réponse exacte, 0 sinon.",Association rapide symbole-code,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-164,Vitesse de traitement / attention,Codage symbolique,3,29,Réponse libre stricte,Utilisez rapidement la clé de codage. Réponse attendue sans espace.,"Clé: A=#, B=%, C=&, D=@, E=+, F=? . Encodez: CAFÉ (ignorer l'accent: CAFE)",,,,,&#?+,Application directe de la clé de codage; la réponse attendue est &#?+.,"1 point si réponse exacte, 0 sinon.",Association rapide symbole-code,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-165,Vitesse de traitement / attention,Codage symbolique,3,29,Réponse libre stricte,Utilisez rapidement la clé de codage. Réponse attendue sans espace.,"Clé: A=#, B=%, C=&, D=@, E=+, F=? . Encodez: DEAF",,,,,@+#?,Application directe de la clé de codage; la réponse attendue est @+#?.,"1 point si réponse exacte, 0 sinon.",Association rapide symbole-code,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-166,Vitesse de traitement / attention,Codage symbolique,2,26,Réponse libre stricte,Utilisez rapidement la clé de codage. Réponse attendue sans espace.,"Clé: A=#, B=%, C=&, D=@, E=+, F=? . Encodez: BEEF",,,,,%++?,Application directe de la clé de codage; la réponse attendue est %++?.,"1 point si réponse exacte, 0 sinon.",Association rapide symbole-code,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VT-167,Vitesse de traitement / attention,Codage symbolique,3,29,Réponse libre stricte,Utilisez rapidement la clé de codage. Réponse attendue sans espace.,"Clé: A=#, B=%, C=&, D=@, E=+, F=? . Encodez: FADE",,,,,?#@+,Application directe de la clé de codage; la réponse attendue est ?#@+.,"1 point si réponse exacte, 0 sinon.",Association rapide symbole-code,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
